Title,Date,Description,Place,Location,Media,Source URL
First Ubuntu Linux Distribution is released,20/10/2004,"Ubuntu (/ʊˈbʊntuː/ (About this soundlisten) uu-BUUN-too) is a free and open-source Linux distribution based on Debian.[9] Ubuntu is officially released in three editions: Desktop, Server, and Core for the internet of things devices  and robots. All the editions can run on the computer alone, or in a virtual machine. Ubuntu is a popular operating system for cloud computing, with support for OpenStack.","London, United Kingdom","51.507379, -0.127379",https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Logo-ubuntu_no%28r%29-black_orange-hex.svg/250px-Logo-ubuntu_no%28r%29-black_orange-hex.svg.png,https://en.wikipedia.org/wiki/Ubuntu
NeXT introduced by Steve Jobs,12/10/1988,"The company developed and manufactured a series of computer workstations intended for the higher education and business markets. NeXT was founded by Jobs after he was fired from Apple, along with several co-workers. NeXT introduced the first NeXT Computer in 1988, and the smaller NeXTstation in 1990. The NeXT computers experienced relatively limited sales, with estimates of about 50,000 units shipped in total. Nevertheless, their innovative object-oriented NeXTSTEP operating system and development environment (Interface Builder) were highly influential.","Redwood City, California, United States","37.486052, -122.232580",https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/NeXT_logo.svg/220px-NeXT_logo.svg.png,https://en.wikipedia.org/wiki/NeXT
Windows XP is released,25/10/2001,"Development of Windows XP began in the late 1990s as ""Neptune"", an operating system (OS) built on the Windows NT kernel which was intended specifically for mainstream consumer use. An updated version of Windows 2000 was also originally planned for the business market; however, in January 2000, both projects were scrapped in favor of a single OS codenamed ""Whistler"", which would serve as a single OS platform for both consumer and business markets. As such, Windows XP was the first consumer edition of Windows not to be based on MS-DOS.","San Jose, California, United States","37.412727, -122.036380",https://upload.wikimedia.org/wikipedia/en/thumb/6/64/Windows_XP_Luna.png/300px-Windows_XP_Luna.png,https://en.wikipedia.org/wiki/Windows_XP
iPod introduced by Apple,23/10/2001,"The iPod is a line of portable media players and multi-purpose pocket computers designed and marketed by Apple Inc. The first version was released on October 23, 2001, about ​8 1⁄2 months after the Macintosh version of iTunes was released. As of May 28, 2019, only the iPod Touch (7th generation) remains in production.","Coupertino, California, United States","37.336319, -122.007958",https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/IPod_line_as_of_2014.png/300px-IPod_line_as_of_2014.png,https://en.wikipedia.org/wiki/IPod
Bill Gates and the start of programming,18/11/1970,"At 13, he enrolled in the private Lakeside prep school, and he wrote his first software program. When he was in the eighth grade, the Mothers' Club at the school used proceeds from Lakeside School's rummage sale to buy a Teletype Model 33 ASR terminal and a block of computer time on a General Electric (GE) computer for the students.","Lakeside prep school, Seattle, Washington, United States","47.732046, -122.327211",https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Bill_Gates_2014.jpg/220px-Bill_Gates_2014.jpg,https://en.wikipedia.org/wiki/Bill_Gates
Operating system created,06/11/1980,"Microsoft entered the operating system (OS) business in 1980 with its own version of Unix called Xenix, but it was MS-DOS that solidified the company's dominance. IBM awarded a contract to Microsoft in November 1980 to provide a version of the CP/M OS to be used in the IBM Personal Computer (IBM PC).","Washington, United States","47.642238, -122.136190",https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Microsoft_logo_%282012%29.svg/220px-Microsoft_logo_%282012%29.svg.png,https://en.wikipedia.org/wiki/Microsoft
Xbox 360 released,22/11/2005,"The Xbox 360 is a home video game console developed by Microsoft. As the successor to the original Xbox, it is the second console in the Xbox series. It competed with Sony's PlayStation 3 and Nintendo's Wii as part of the seventh generation of video game consoles. It was officially unveiled on MTV on May 12, 2005, with detailed launch and game information announced later that month at the 2005 Electronic Entertainment Expo.","Washington, United States","47.641942, -122.137600",https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Xbox-360S-Console-Set.jpg/85px-Xbox-360S-Console-Set.jpg,https://en.wikipedia.org/wiki/Xbox_360
Netscape bought by AOL,24/11/1998,"AOL was one of the early pioneers of the Internet in the mid-1990s, and the most recognized brand on the web in the United States. It originally provided a dial-up service to millions of Americans, as well as providing a web portal, e-mail, instant messaging and later a web browser following its purchase of Netscape. ","New York, United States","40.730735, -73.991543",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/AOL_logo.svg/220px-AOL_logo.svg.png,https://en.wikipedia.org/wiki/AOL
David Wheeler Dies,13/12/2004,"Wheeler's contributions to the field included work on the Electronic delay storage automatic calculator (EDSAC) and the Burrows–Wheeler transform (BWT). Along with Maurice Wilkes and Stanley Gill he was credited with the invention of the subroutine (which they referred to as the closed subroutine), and gave the first explanation of how to design software libraries; as a result, the jump to subroutine instruction was often called a Wheeler Jump. Wilkes published a paper in 1953 discussing relative addressing to facilitate the use of subroutines.","Cambridge, United Kingdom","52.204181, 0.114748",https://upload.wikimedia.org/wikipedia/commons/7/7f/EDSAC_%2814%29_%28cropped%29.jpg,https://en.wikipedia.org/wiki/David_Wheeler_(computer_scientist)
Co-inventor of microprocessor Federico Faggin is born,01/12/1941,"The Intel 4004. Federico Faggin joined Intel from Fairchild in 1970 as the project leader and designer of the MCS-4 family, which included the 4004, the world's first single-chip microprocessor.. At Fairchild, Faggin designed the first commercial integrated circuit using Silicon Gate Technology with self-aligned MOSFET transistors: the Fairchild 3708. The 3708 was an 8-bit analog multiplexer with decoding logic, replacing the equivalent Fairchild 3705 that used metal-gate technology.","Vicenza, Italy","45.542676, 11.517585",https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Federico_Faggin_%28cropped%29.jpg/220px-Federico_Faggin_%28cropped%29.jpg,https://en.wikipedia.org/wiki/Federico_Faggin
First Web Site outside of Europe,13/12/1991,"SLAC developed and, in December 1991, began hosting the first World Wide Web server outside of Europe.","Menlo Park, California, United States","37.452965, -122.183400",https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/SLAC_aerial.jpg/220px-SLAC_aerial.jpg,https://en.wikipedia.org/wiki/SLAC_National_Accelerator_Laboratory
FORTRAN leader John Backus is born,03/12/1924,"He directed the team that invented and implemented FORTRAN, the first widely used high-level programming language, and was the inventor of the Backus–Naur form (BNF), a widely used notation to define formal language syntax. He later did research into the function-level programming paradigm, presenting his findings in his influential 1977 Turing Award lecture ""Can Programming Be Liberated from the von Neumann Style?""","Philadelphia, Pennsylvania","40.002860, -75.147721",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/John_Backus_2.jpg/220px-John_Backus_2.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/John_Backus_2.jpg/220px-John_Backus_2.jpg
